ID,Team Name,Section,Year,Medal Awarded,Other Award,Wiki Link,Outreach Category,Title,Summarized Description
22,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Public Science Activities,"we found the core issue of public concern is not the new method itself, but the unknown harm and actual effect that new method or things may bring. Against insufficient public understanding of synthetic biology and gene erringeering, our team organized four public science events at Hangzhou Low Carbon Science and Technology Museum (China), Zhejiang Science and Technology Museum as well as Zhejiang Museum of Natural History, Ningbo Foreign Language School. We also give a speech on the stage to summary the project of each team and its contribution to society."
23,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Integrated Human Practices,The journey begins,"One of our first steps when delving into this area of research was meeting with Efrat Carmi, CEO of IsrALS, who had inherited the position from Liat’s father. How ALS research and awareness was, until recently, marginalized due to the rarity of the disease and the small size of the patients population."
24,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Integrated Human Practices,For and with the ALS community,"From this point we were ready to enter the lab phase of our project. As we were aware of how sensitive it may be to present preliminary research to ALS patients and their families, we decided against presenting our project to this community."
25,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Integrated Human Practices,embraced by the scientific community,"As we mentioned previously, the community of ALS research labs in Israel was very limited until recently. The community seemed truly excited by our idea and the questions we received were not about the viability of the idea, rather they were insightful thoughts regarding research methods."
26,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Education and Public Engagement,Friends4ALS 7th Annual Fundraising Race,"On Thursday July 6, 2018 the OriginALS team participated in the “Annual Race for ALS Patients”. During this event we had the opportunity to meet ALS patients and talk with their families, hearing how they confront the disease on a day to day basis."
27,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Education and Public Engagement,A Meeting with Tzvika Levi,"At the ALS race closing ceremony, several patients shared their experiences with the disease. At the onset of the OriginALS project, Avital visited Tzvika and his corageuous wife Naomi, and wrote the following about that experience: I first met Tzvika when I was eighteen years old, freshly out of high-school and a few months after making Aliya to Israel."
28,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Education and Public Engagement,Youth Science-Workshop Visit,"On Thursday, August 2, 2018 a group of twenty students from the Choosidman Youth Science Center visited our lab."
29,BGU Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel,Education and Public Engagement,OriginALS Animation,"As part of our goal to make the OriginALS idea accessible to the public, we created a short animation video which provides a visual aid to understanding the scientific aspects of the project."
30,BIT,Undergrad,2018,Gold,,http://2018.igem.org/Team:BIT,Education and public engagement,Education & public engagement,"In the Education & Public engagement section, this year, we mainly completed the explanation and presentation of synthetic biology knowledge and iGEM for students from three different ages group, middle school, high school and university."
31,BJRS China,High_school,2018,Gold,,http://2018.igem.org/Team:BJRS_China,Integrated Human Practices, Integrated Human Practices,"In the company, we practically experienced biological plastic products, and learned the fermentation tank and fermentation process, also, interviewed the employees."
32,BJRS China,High_school,2018,Gold,,http://2018.igem.org/Team:BJRS_China,Education and Public Engagement,Report on Questionnaire ,"To investigate public’s cognition state and acceptance level on genetically modiﬁed food(referred as GM food in parts of the article below), we set up this questionnaire. Therefore, this survey has certain universality and representativeness. Ninety-eight were very concerned and 83 were less concerned; Fifteen people don't pay any attention. From our ﬁgures above, we could see that most people have fair awareness and their own proper thinking towards genetically modiﬁed food, whether it is negative or positive, at least they are aware of the principle/basic theory of genetically modiﬁed food and the process before they appear on the market. But still, about thirteen percent of people thought GM food might as well change our genes and cause us to transform into alternative creatures, which means they need more detailed information on this technology. Since this is actually a fairly possible hypothesis that we are all concerned about, we were really glad to see this result."
33,BJRS China,High_school,2018,Gold,,http://2018.igem.org/Team:BJRS_China,Education and Public Engagement,Feedback on school presentations,"Through our questionnaire feedback, we found that the public still had some misunderstandings about synthetic biology and genetically modified methods, so we decided to conduct a school lecture. In this case, we should take the current situation of development and popularization into account and make corresponding changes and efforts."
34,BJRS China,High_school,2018,Gold,,http://2018.igem.org/Team:BJRS_China,Education and Public Engagement,About the idea,"The audience's thoughts on the application field are concentrated in the related fields of medicine, biology, pharmacy and so on, which is also what the scientists are aiming at. Synthetic biology is also closely related to sociology and social production, although the public is less involved, and there are already studies and partial production of bioenergy and biological products. of course there are also many disputes, sometimes technical level can achieve, but the moral and ethical will limit its reality, so in the process of the application of synthetic biology, still have many difficulties to be overcome, is not only a technical, there are some social factors, involves many interdisciplinary areas. To sum up, the development of synthetic biology is more in line with the public expectation and faces some problems."
35,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,University of Calgary Faculty Presentation,"In May 2018, our team held an informational presentation outlining our preliminary ideas and plans for researchers, doctors, and general interest groups at the University of Calgary. Logistical comments were made regarding different transfection methods and whether to use wild type Cas9 or nickase."
36,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,Safety and Ethical Considerations in Literature Review,"With the advice we received from our faculty presentation fresh in our minds, we consulted literature that discussed the safety and ethical considerations attached to gene therapy, CRISPR, and regulation of modified organisms. Particularly, we thought it would be beneficial to engage individuals that have backgrounds internal and external to the realm of synthetic biology, whether that be within a laboratory or a public context."
37,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,Meeting with Dr. Ian Lewis,"Dr. Lewis works as a Chair for Alberta Innovates: Health Solutions in Translational Health in Metablomics, and is an assistant professor at the University of Calgary. He counselled us to use our gene integration framework for generic research purposes. Emphasis put on our project’s utility as a tool for understanding biology further justified a shift toward expanding the scope of our project to become a toolkit for researchers, as opposed to strictly being a gene therapy system."
38,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,Meeting with Dr. Walter Glannon,"The team met with Dr. Walter Glannon, a professor of philosophy at the University of Calgary, to discuss ethical considerations related to our project. However, within a conceptual framework, no ethical issues are raised. The idea of catering our project to general gene integration for research purposes was becoming progressively more appealing."
39,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,Spiritual Care Advisory Committee Calgary Zone Meeting,"The Spiritual Care Advisory Committee members we spoke with consisted of Spiritual Health Practitioners, a family physician, and a community member from various religious denominations including Christianity, Sikhism, Islam and Buddhism. These individuals work closely with families and patients to provide support and encourage spiritual well-being, whether it be through active listening or the provision of rituals or ceremonies. Ultimately, it was determined that our team was not equipped to fully counter the negative connotations and safety concerns that accompany the project’s therapeutic applications on a large-scale."
40,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Integrated Human Practices,Conclusion,"Ultimately, our project direction was swayed by the feedback which we received through our human practices work. Therefore, we addressed those issues within the context of a research platform as opposed to tackling the baggage associated with gene therapy."
41,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Education and Public Engagement,Researchers,"Faculty Talk In May of 2018, our team held a informational presentation outlining our preliminary ideas and plans for researchers, doctors, and general interest groups at the University of Calgary."
42,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary,Education and Public Engagement,Students,"International Baccalaureate Curriculum In an effort to engage with aspiring scientists worldwide, our team sought to create a new synthetic biology addition to the International Baccalaureate Organization program. Rainer, our team’s graphic designer, walked a few members of the Notre Dame team through tips and tricks for creating eye-catching logos, diagrams, and slide-shows."
43,Cardiff Wales,Undergrad,2018,Gold,Best Plant Synthetic Biology,http://2018.igem.org/Team:Cardiff_Wales,Integrated Human Practices,Agronomist ,"Our meeting with agronomist Jonathan Harrington provided us with information of the current pest controls widely used across the UK, including those used by some of the farmers that he advises. He discussed with us the current chemical sprays commonly used; in particular these were Neonicotinoids and Synthetic pyrethroids. An article in New Scientist has highlighted the depth of research into the effects this type of pesticide has on bumble bees. We were surprised to find that 90-95% of winter cereals are sprayed with chemical pesticides, confirmed by a representative of NIAB and Norfolk's regional agronomist, Stephen Keach."
44,Cardiff Wales,Undergrad,2018,Gold,Best Plant Synthetic Biology,http://2018.igem.org/Team:Cardiff_Wales,Education and Public Engagement,Techniquest ,"Techniquest is an interactive science museum located in Cardiff Bay. After seeing some DNA, and finding out more about the basis of all living things, the participants then moved to learn about genetic modification on a basic level with our 3D printed plant model showing colour changes with new gene insertions into the plant."
45,Cardiff Wales,Undergrad,2018,Gold,Best Plant Synthetic Biology,http://2018.igem.org/Team:Cardiff_Wales,Education and Public Engagement,Super Science Saturday! at the National Museum of Wales ,"Our final outreach event was at the National Museum of Wales, at Super Science Saturday. On completion of all the science activities and games, collecting stamps along the way, the children were given badges and prizes."
46,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Interview and Presentation    ,"The aim of our human practices work was to spread the word about synthetic biology and to consider our work in ethical and environmental aspects. For outreach, we got interviewed by the local newspaper Göteborgs-Posten, held presentations about our project at the university and kept our social media up-to-date. Mef Nilbert made us consider alternative detection methods and broadened our perspective on the potential uses of our product. Mike Vega gave us information regarding transducers that guided us in our ultrasound experiments."
47,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Detection,"One of the most common methods for detecting colon cancer is colonoscopy. Colonoscopy is an invasive method that requires the patient to adapt food intake and to use laxatives prior to the examination (Simon, 2016). The colonography is semi-invasive but still requires the patient to prepare for the examination as for the colonoscopy (Simon, 2016). The drawbacks of these tests are that they have a low detection rate of precancerous lesions and that they can give false results as a consequence of diet (Simon, 2016)."
48,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Treatment,"Today, surgery is commonly the first choice in the treatment of colon cancer. In relation to genome profiling, better understanding of mutations that could cause cells to become cancerous has led to the development of targeted therapies (Rosenblum & Peer, 2014). Immunotherapy focuses on stimulating the immune response to fight the cancer and has shown to be successful in the treatment of other cancer types (Kalyan et al.,"
49,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Regulations of GM Drugs,"This means that proper information about any GMO trials performed in sweden must be reported to the EU and fulfill their general criteria. Even though the MPA has the final say in whether or not a clinical trial is approved there are some other agencies of interest when it comes to the regulation of pharmaceuticals in Sweden. The board has a consulting role and its goal is to make sure that gene editing techniques are used in a responsible and sustainable way. All of the trials regarding GM pharmaceuticals are posted on the Swedish Medical Products Agency’s website, which you can find here."
50,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Contact with Institutions,"In order to get a better understanding of what Swedish laws that govern the use of GM probiotics we decided to approach a few of the key institution that deals with pharmaceuticals and other GM products. They did not have a concrete answer, instead we were referred to the MPA to ask them if our product would be counted as a food supplement, like most regular probiotics, or if it would be classified as a pharmaceutical."
51,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Meeting with Vice President of Business Development & Sales at Verasonics,"We met with Mike Vega, Vice President of Business Development & Sales at Verasonics, a company that manufactures ultrasound instruments. Mike Vega gave us information regarding transducers that later on guided us in our ultrasound experiments with yeast."
52,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Meeting with Professor in Oncology,"Mef Nilbert is a professor in oncology at Lunds University and at Copenhagen University. He was a great asset for many of the teams participating in the Nordic iGEM conference, providing us with advice on how to communicate through text, for example in a poster, and connected teams with relevant people. Mef Milbert had ideas about how we could develop our project. She said that it most certainly would be hard to distinguish the gas vesicles, with all the movement and gas that already is in the colon, using only ultrasound."
53,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Alternative Methods,"For diagnosis and localization of the cancer, the most favorable approach would be expression of an MRI detectable reporter gene in the yeast. With this approach, the final product would work in the same way as our previously designed system, but with MRI used for screening instead of ultrasound."
54,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Meeting with Lector in Practical Philosophy,"In order to get insight into the ethical prospects of our project, we met with Karl de Fine Licht, a lector within practical philosophy at both Gothenburg University and Sahlgrenska Hospital University. The reason why we wanted to have a meeting with Karl de Fine Licht is that he has worked with bioethics, and we thought he could give us some important views on our project and hopefully some good advice, which was also the case. In an experimental survey, the respondents are handed a scenario in which they have to take different stand points. By creating the same scenario but describing it in two separate ways, it is possible to see if people react differently depending on how the scenario is described."
55,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Experimental Survey,"To get a sense of how people would react to our product if it was out on the market, we decided to make an experimental survey based on the advice from Karl de Fine Licht. When looking at the summarized results we can see that the respondents have answered similarly to the two different versions. Since we do not have enough answers, we cannot establish that there is a significant difference."
56,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg,Integrated Human Practices,Patient Safety,"Since the final product, a pill containing freeze-dried Saccharomyces Boulardii, is ingested by the patient it is important that the safety of the patient is considered. In medical studies it has been shown that in patients that ingest S. boulardii continuously over a period of time, the probiotic yeast concentration in the colon reaches a steady state after 3 days (Czerucka, D. et al."
57,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Human Practices,Visit from Forensic Biologist Dr. Mark Benecke,"Dr. Mark Benecke, a known forensic biologist not only in Germany but also worldwide, did not only work for the FBI, but also became a forensic expert for biological traces after moving back to Germany. His research field, his profession and especially the way he is teaching people about science encouraged us to invite him to our university to present our work and our lab. We would like to thank Dr. Benecke for his support and his thoughtful words."
58,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Human Practices,A Survey for Everyone,"To assess the public’s opinion regarding a future possibility to utilize our toolbox for the synthesis of probiotics, we created a survey with a couple of questions. Most of the participants were relatively young, ranging from 14 to 30 years old, which is why we considered that the vast majority of the survey was filled out online. Interestingly, independent of age, gender and degree, most of the participants are aware that the intestinal flora has an impact on human health. This became obvious to us at the supermarket, when looking at the people struggling to answer this question. This clearly indicates that the public is still not very familiar with synthetic biology and its potential benefits."
59,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Human Practices,Expert Discussion with a Pharmacy Employee,"The gut flora is a very important network of organisms in our bodies. Especially impressive to her was the fact that the co-culture toolbox can be used in many possible ways - either for production, the cultivation of different organisms, simple research or as probiotics. Some physicians - unfortunately not all - recommend probiotics to their patients. In the end she also suggested other applications of our toolbox."
60,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Human Practices,Synthetic Biology and Waffles,"Our idea behind the small information booth paired with waffle sales was to capture the general knowledge of the students of our university about synthetic biology while “baiting” them with delicious self-made food. It was interesting to see that biology seems to be very complicated and incomprehensible to many. All in all, we were able to arouse interest in synthetic biology with our information booth and were able to enjoy a bunch of waffles."
61,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Human Practices,Radio Interview,"The [97.1] Hochschulradio Düsseldorf is a universitarian radio station hosted voluntarily by students of different study fields. Our goal was to change their problem, introduce iGEM to a bunch of folks who listen to the station and advertise the upcoming talks of our lecture series. When we entered the station we were quite surprised: It’s located in a normal apartment in a big residential block for students. We learned how to describe a complex project to people with little knowledge about specific mechanisms and were able to reach people beyond our usually scientifically interested audience."
62,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Integrated Practices,Cyano and Co-culture expert Daniel Ducat,"In the beginning of our work with the three “Trinity” organisms we stumbled across several questions: How should the growth media be composed? During our brainstorming sessions at the beginning of our iGEM journey, this strain was often named as a main example for the use of cyanobacteria in a co-culture. Luckily, he was on a symposium visit in Germany in May 2018 and offered to visit us and provide us with the cscB strain. He also provided us with the protocols which were then frequently used in our project . At first, by providing us with the Synechococcus cscB strain which enabled us to conduct experiments with sucrose production and export in salt stress media."
63,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Education and Public Engagement,Lecture Series,"The iGEM competition is primarily about research, but public relations work is also a very large component. However, scientists fear the restriction their work will suffer due to new regulations that might be implemented. Also, there are a lot of things that still need to be discussed like the improvement of security and safety of the environment. After the lecture, we asked the same questions again to analyze whether the lecture changed the opinion of the audience. The first lecture was presented by our advisor Tim Blomeier and offered the audience a good overview of the field of synthetic biology. ELSA” (or “ELSI”) stands for “Ethical, Legal and Social Aspects (or Implications)“ and is a concomitant research in modern life sciences. The results of our surveys show that there are still some concerns and prejudices against synthetic life sciences among the population."
64,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Education and Public Engagement,Survey,"Furthermore, we surveyed the listeners before and after each lecture in order to get a general overview of the opinion on synthetic biology. However, 50% of participants thought that synthetic biology has little or no impact on our daily lives (Figure 2)."
65,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Education and Public Engagement,Heine meets Huxley,"On July 16 we took part in the first event of “Heine meets Huxley” - a project brought into the world by the Heinrich Heine University in Düsseldorf based on the dystopian novel “Brave New World” written by Aldous Huxley. Dr. Jan-Steffen Krüssel explained how in vitro fertilization works nowadays and gave information about where Huxley had been wrong: For example, using less oxygen is not correlated with lesser intelligence but rather a natural environment in the oviduct of women. We also gave them several items for comparison, such as rennet cheese with naturally and synthetically produced enzymes, to let visitors decide which they liked best. In the end one question stood out: “Why do you think the society is afraid of genetic engineering and synthetic biology even though there are so many advantages?”"
66,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf,Education and Public Engagement,´March for Science´ Cologne,"On the 22nd April of 2018 our team participated in the ´March for Science Germany´ in Cologne. Our team met at the Domplatte in Cologne at 11 am and together with the iGEM teams from Bielefeld, Bonn and Aachen as well as hundreds of other (non-iGEM) participants marched 2 kilometres (1.24 miles) downtown to the Rudolfsplatz. The speeches at the event were very informative and showed how important it is to be well received by the public."
67,ECUST,Undergrad,2018,Gold,,http://2018.igem.org/Team:ECUST,Integrated Human Practices,Overview,"“Human Practices is the study of how your work affects the world, and how the world affects the work.” ( Peter Carr, Director of Judging) is the comment which gives a clear definition of all Human Practices activities."
