School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,"Teaching Activity, Educational Material","Primary School Students, Secondary School Students, General Public","Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)","The high school workshop succeeded in achieving an interaction with the high school students who were interested in the broad fields of engineering and biology, but never had the opportunity to experiment with the two. In a workshop that was the first of its kind in the UAE, these students who had no laboratory experience were introduced to a university laboratory, where they had an opportunity to learn how to integrate biology and engineering."
CPU_CHINA,Undergraduate,2017,http://2017.igem.org/Team:CPU_CHINA,,Integrated Human Practices,,Presentation (General),Secondary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program",Team gave a lecture on synthetic biology through an iTED talk to university students.
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Integrated Human Practices,,Teaching Activity,University Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program",The team taught the basics of mathematical modeling to freshman.
CPU_CHINA,Undergraduate,2017,http://2017.igem.org/Team:CPU_CHINA,,Education and Public Engagment,,Conference/Panel Discussion,University Students,Science Education (Non-SynBio Specific),One iGEM member attended the Rapid Prototyping Workshop. 
CPU_CHINA,Undergraduate,2017,http://2017.igem.org/Team:CPU_CHINA,,Education and Public Engagment,,Open Lab,,Gain Information for iGEM project,
CPU_CHINA,Undergraduate,2017,http://2017.igem.org/Team:CPU_CHINA,,Education and Public Engagment,,Conference/Panel Discussion,Secondary School Students,"Education on Synthetic Biology, Science Education (Non-SynBio Specific)",3 team members attended the Cambridge UK Open Plant Forum. 
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Integrated Human Practices,,Just Product,Specialized Audiences,Gain Information for iGEM project,Created a kit for high schoolers on low budgets to do cell free biology. 
CPU_CHINA,Undergraduate,2017,http://2017.igem.org/Team:CPU_CHINA,,Education and Public Engagment,,Consult Experts,"Primary School Students, Secondary School Students, Teachers","Promote Awareness of Synthetic Biology, Activism for iGEM project",Contacted several professionals form different organizations and labs for their input. 
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,iGEM Project Presentation (Presenting your iGEM project for feedback),Specialized Audiences,Gain Information for iGEM project,"In September, two of our team members went to Davos, Switzerland, to attend the Summer School on Shaping the Future of Bioengineering. "
BIT,Undergraduate,2017,http://2017.igem.org/Team:BIT,,Education and Public Engagment,,Community Event,Secondary School Students,Present iGEM Project,We also took part in the Computational Biology Symposium 2017 hosted at EPFL in October to present the software part of our project during a poster session. 
BIT,Undergraduate,2017,http://2017.igem.org/Team:BIT,,Education and Public Engagment,,Consult Experts,iGEM Teams,Present iGEM Project,Consulting with experts in medical analysis to get advice for the implementation of their project. 
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Integrated Human Practices,,Consult Experts,,Gain Information for iGEM project,Met with individuals from diverse backgrounds to talk about their project. 
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,iGEM Project Presentation (Presenting your iGEM project for feedback),"Professors, Scientific Community",Gain Information for iGEM project,Presented their project to a group of DIY enthusiast. 
Macquarie_Australia,Overgraduate,2017,http://2017.igem.org/Team:Macquarie_Australia,,Integrated Human Practices,,Presentation (General),Specialized Audiences,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology",Gave a talk at NTU Athens to computer science masters to give them an idea of why Synbio is. 
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,Presentation (General),Specialized Audiences,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology",
Munich ,Overgraduate,2017,http://2017.igem.org/Team:Munich ,,Education and Public Engagment,,Just Product,Specialized Audiences,Gain Information for iGEM project,"Interviewed Experts: Bastien ROUX, a business relationship manage in the French Federation of Diabetics and Dr. Alain FOURNIER the head of the yeast genetics department at Sanofi-Aventis. "
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,Survey,"Scientific Community, Specialized Audiences",Gain Information for iGEM project,"Conducted a survey about ""The Pleasure of Sugar without the disadvantages: Psicose"""
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,Just Product,General Public,"Gain Information for iGEM project, Education on Synthetic Biology",http://2017.igem.org/Team:Evry_Paris-Saclay/HP/Annexe/Giovana
Exeter,Overgraduate,2017,http://2017.igem.org/Team:Exeter,,Integrated Human Practices,,Consult Experts,"Secondary School Students, General Public","Promote Awareness of Synthetic Biology, Activism for iGEM project",Team consulted experts from a variety of backgrounds for feedback on their iGEM project.
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Education and Public Engagment,,"Teaching Activity, Consult Representatives","Professors, Scientific Community",Gain Information for iGEM project,"After consulting students, educators, and biosafety experts, Lethbridge iGEM designed an education kit to teach principles of synthetic biology using their cell-free Next-Vivo technology."
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Integrated Human Practices,,"Presentation (General), Teaching Activity, Consult Representatives","Secondary School Students, Teachers, General Public","Gain Information for iGEM project, Education on Synthetic Biology, Discuss Ethics and Safety, Present iGEM Project, Science Education (Non-SynBio Specific)","Lethbridge iGEM paired up with SynBridge, a makerspace located in the University of Lethbridge, to host synthetic biology workshops for teachers during professional days."
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Integrated Human Practices,,Conference/Panel Discussion,Teachers,Education on Synthetic Biology,The team leader attended a conference on synthetic biology and spoke to some people about issues the team was having with their project.
Exeter,Overgraduate,2017,http://2017.igem.org/Team:Exeter,,Integrated Human Practices,,"Presentation (General), Social Media",Scientific Community,"Gain Information for iGEM project, Discuss Ethics and Safety",The team gave explanations to the public on synthetic biology and microbes.
BIT,Undergraduate,2017,http://2017.igem.org/Team:BIT,,Education and Public Engagment,,Community Event,General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program, Science Education (Non-SynBio Specific)",The team planted wheat with farmers.
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Integrated Human Practices,,Social Media,Specialized Audiences,Learn Public Opinions,Microblogging University Media Union of Jiangsu China reported on the team.
Fudan,Undergraduate,2017,http://2017.igem.org/Team:Fudan,,Integrated Human Practices,,"Consult Experts, Consult Representatives","Scientific Community, General Public","Promote Awareness of Synthetic Biology, Educate on the iGEM program",The team spoke to the government to gain information about wheat scab.
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Education and Public Engagment,,Presentation (General),"Legislators, Specialized Audiences",Gain Information for iGEM project,A team member gave a lecture to biology students about synthetic biology and the iGEM program.
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,Community Event,University Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Discuss Ethics and Safety",The team participated in a science fair to present about synthetic biology and engage children with easy science experiments.
Fudan,Undergraduate,2017,http://2017.igem.org/Team:Fudan,,Education and Public Engagment,,Consult Experts,"Primary School Students, Secondary School Students, General Public","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)",Several experts were consulted on how to regulate potential policy with iGEM project. 
NCTU_Formosa,Undergraduate,2017,http://2017.igem.org/Team:NCTU_Formosa,,Education and Public Engagment,,Survey,"Professors, Legislators","Gain Information for iGEM project, Discuss Ethics and Safety, Policy Outreach",The team created and distributed a survey about synthetic biology and immunology.
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Integrated Human Practices,,Community Event,General Public,Learn Public Opinions,"The team participated in ""Science Days,"" an event held in a theme park to get kids interested in science."
European Practice Jamboree,Overgraduate,2017,http://2017.igem.org/Team:European Practice Jamboree,,Integrated Human Practices,,"Community Event, Presentation (General), Teaching Activity, Fair Booth",Primary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology",Team attended the North East Big Bang Fair and taught the community about synthetic biology and iGEM. 
Fudan,Undergraduate,2017,http://2017.igem.org/Team:Fudan,,Education and Public Engagment,,Survey,General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program, Present iGEM Project",The team created and distributed a survey about opinions on immune -based therapies.
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Integrated Human Practices,,Just Product,General Public,Learn Public Opinions,
NTU_SINGAPORE,Overgraduate,2017,http://2017.igem.org/Team:NTU_SINGAPORE,,Integrated Human Practices,,"Consult Experts, Consult Representatives","Scientific Community, General Public",Learn Public Opinions,"Lethbridge iGEM created a software to resolve biosafety concerns with their project, then asked DNA synthesis companies to test the software."
NTU_SINGAPORE,Overgraduate,2017,http://2017.igem.org/Team:NTU_SINGAPORE,,Education and Public Engagment,,Consult Experts,"Scientific Community, Vendors/Businesses","Gain Information for iGEM project, Discuss Ethics and Safety",The team met with a variety of experts to address concerns with their project.
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Education and Public Engagment,,"iGEM Project Presentation (Presenting your iGEM project for feedback), Conference/Panel Discussion","Professors, Specialized Audiences","Gain Information for iGEM project, Discuss Ethics and Safety","Lethbridge iGEM attended the Alberta RNA Research and Training Institute Annual General Meeting, where they presented their project for feedback."
USP-Brazil,Overgraduate,2017,http://2017.igem.org/Team:USP-Brazil,,Integrated Human Practices,,Community Event,"Secondary School Students, University Students, iGEM Teams, Professors, Scientific Community","Gain Information for iGEM project, Present iGEM Project, Networking",
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Education and Public Engagment,,Community Event,"University Students, General Public","Promote Awareness of Synthetic Biology, Educate on the iGEM program","The team planned a concert and invited several musical groups to perform. After the performances, the team introduced themselves and talked about synthetic biology."
CSMU_NCHU_Taiwan,Undergraduate,2017,http://2017.igem.org/Team:CSMU_NCHU_Taiwan,,Integrated Human Practices,,Community Event,"University Students, General Public",Promote Awareness of Synthetic Biology,The team invited students to engage in scientific conversations over food and coffee.
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Education and Public Engagment,,Presentation (General),University Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Learn Public Opinions, Science Education (Non-SynBio Specific)","The team presented at FabLab, a science fair, and a welcome event for new students at their university. "
USP-Brazil,Overgraduate,2017,http://2017.igem.org/Team:USP-Brazil,,Integrated Human Practices,,Survey,"Primary School Students, Secondary School Students, University Students, General Public","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program, Recruit iGEM members, Science Education (Non-SynBio Specific)",The team created and distributed a survey to assess the public opinion of GMOs. 
CSMU_NCHU_Taiwan,Undergraduate,2017,http://2017.igem.org/Team:CSMU_NCHU_Taiwan,,Education and Public Engagment,,"Survey, Conference/Panel Discussion, Consult Experts",General Public,"Learn Public Opinions, Discuss Ethics and Safety",The team organized a conference to go over ethical concerns and the future of synthetic biology.
Exeter,Overgraduate,2017,http://2017.igem.org/Team:Exeter,,Education and Public Engagment,,Survey,"University Students, Scientific Community",Discuss Ethics and Safety,
Exeter,Overgraduate,2017,http://2017.igem.org/Team:Exeter,,Education and Public Engagment,,Survey,"General Public, Specialized Audiences","Learn Public Opinions, Discuss Ethics and Safety",The team created a survey to gauge interest in the 3-D printer they want to build. They also visited some maker spaces to learn about their market.
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Education and Public Engagment,,Just Product,Specialized Audiences,Learn Public Opinions,
Exeter,Overgraduate,2017,http://2017.igem.org/Team:Exeter,,Education and Public Engagment,,"Presentation (General), iGEM Project Presentation (Presenting your iGEM project for feedback)","iGEM Teams, Scientific Community, General Public",Education on Synthetic Biology,Team held seminars with research groups to present iGEM project.
Exeter ,Overgraduate,2017,http://2017.igem.org/Team:Exeter ,,Education and Public Engagment,,Just Product,"University Students, Scientific Community","Education on Synthetic Biology, Educate on the iGEM program",
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Education and Public Engagment,,Consult Experts,General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program",Team consulted several experts in the field of biosensors for feedback on their project. 
Munich,Overgraduate,2017,http://2017.igem.org/Team:Munich,,Integrated Human Practices,,Consult Experts,"Professors, Scientific Community, Vendors/Businesses, Specialized Audiences","Gain Information for iGEM project, Learn Public Opinions, Present iGEM Project",Met with Dr. Pascale Ondoa to discuss project and take feedback into account.
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,Professors,Gain Information for iGEM project,Met with Dr. ir. Arnold van Vliet to discuss project and receive feedback.
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,"Conference/Panel Discussion, Consult Experts",Professors,Gain Information for iGEM project,Team attended the N8 Crop and Agriculture Innovation conference to speak to experts in the agriculture industry. 
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,Vendors/Businesses,"Gain Information for iGEM project, Learn Public Opinions, Present iGEM Project",The team responded to feedback about safety worries by designing a cell lysis system and speaking with an expert on ethical criteria.
OUC_China,Undergraduate,2017,http://2017.igem.org/Team:OUC_China,,Integrated Human Practices,,Consult Experts,Specialized Audiences,"Gain Information for iGEM project, Discuss Ethics and Safety",Met with Dr. Robert-Jan Hassing to gain valuable info for the project background
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,Professors,Gain Information for iGEM project,
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,Professors,Gain Information for iGEM project,The team interviewed a variety of experts in order to optimize their product.
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,"Community Event, Educational Material","Professors, Scientific Community, Vendors/Businesses, Specialized Audiences",Gain Information for iGEM project,The team reached out to educators and decided to build a game to help the public access synthetic biology. 
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,"Community Event, Presentation (General), iGEM Project Presentation (Presenting your iGEM project for feedback), Fair Booth",General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology",The team presented at a variety of community and science-based events.
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,"Secondary School Students, University Students, iGEM Teams, Professors, Scientific Community, General Public","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Present iGEM Project",Team interviewed several experts in the field of heavy metal detection in wastewater. 
Wageningen_UR,Overgraduate,2017,http://2017.igem.org/Team:Wageningen_UR,,Integrated Human Practices,,Consult Experts,"Professors, Scientific Community, Legislators",Gain Information for iGEM project,Team visited an electroplating factory to analyze how experts troubleshoot problems in electroplating.
USP-Brazil,Overgraduate,2017,http://2017.igem.org/Team:USP-Brazil,,Education and Public Engagment,,Survey,"Scientific Community, Vendors/Businesses","Gain Information for iGEM project, Learn Public Opinions, Discuss Ethics and Safety","Team conducted a questionnaire to learn the public's awareness of heavy metal pollution, and their opinions regarding engineered bacteria."
USP-Brazil,Overgraduate,2017,http://2017.igem.org/Team:USP-Brazil,,Education and Public Engagment,,"Open Lab, Presentation (General), Teaching Activity",General Public,Learn Public Opinions,Team set up an iGEM Club and organized meetings for freshman interested in the program. 
CSMU_NCHU_Taiwan,Undergraduate,2017,http://2017.igem.org/Team:CSMU_NCHU_Taiwan,,Integrated Human Practices,,"Community Event, Presentation (General), Fair Booth",University Students,"Educate on the iGEM program, Recruit iGEM members",Team played games and introduced their project at the Biological Festival at Sun Yet-sen University.
OCU_China,Undergraduate,2017,http://2017.igem.org/Team:OCU_China,,Education and Public Engagment,,"Teaching Activity, Speaker Series",General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program, Present iGEM Project","Team visited a primary school to teach children about biology, along with invited a professor from a nearby school to speak at their university."
OUC_China,Undergraduate,2017,http://2017.igem.org/Team:OUC_China,,Education and Public Engagment,,"Community Event, Teaching Activity, Fair Booth","Primary School Students, University Students","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Discuss Ethics and Safety, Science Education (Non-SynBio Specific)","Team hosted a workshop for kindergarten students and taught them about synthetic biology, along with hosting a ""Draw-A-Bacteria"" contest."
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,"Open Lab, Presentation (General), Teaching Activity",Primary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)",Team held a presentation about iGEM and taught students various lab techniques at a UNF summer camp.  
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,Community Event,"Primary School Students, Secondary School Students","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program, Present iGEM Project",Weekly Sunday meetings with activities for students and discussions about biosafety and team's project with parents.
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,"Community Event, Survey","Primary School Students, Specialized Audiences","Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Learn Public Opinions, Discuss Ethics and Safety",Survey of public opinions of parents during a workshop for students age 4-12
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Integrated Human Practices,,Teaching Activity,"General Public, Specialized Audiences",Learn Public Opinions,Teaching synthetic biology concepts to year 11 students 
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,Teaching Activity,,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Discuss Ethics and Safety",Sharing iGEM experience with high school students 
NTNU_Trondheim,Overgraduate,2017,http://2017.igem.org/Team:NTNU_Trondheim,,Integrated Human Practices,,Presentation (General),Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on the iGEM program",Showcasing iGEM project to the public at Hong Kong's InnoCarnival
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,Educational Material,General Public,Present iGEM Project,Created and distributed educational leaflet about biosafety
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Integrated Human Practices,,"Educational Material, Social Media","General Public, Specialized Audiences",Promote Awareness of Synthetic Biology,Wrote articles on Facebook to address misconceptions and concerns about synthetic biology
NU_Kazakhstan,Undergraduate,2017,http://2017.igem.org/Team:NU_Kazakhstan,,Education and Public Engagment,,Just Product,General Public,Education on Synthetic Biology,Creating Chinese subtitles and translations for synthetic biology videos from the Synthetic Biology 1 video series.
NU_Kazakhstan,Undergraduate,2017,http://2017.igem.org/Team:NU_Kazakhstan,,Education and Public Engagment,,"Conference/Panel Discussion, Consult Experts","Secondary School Students, University Students",Education on Synthetic Biology,Seeking out and then addressing biosafety concerns from different sources
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Integrated Human Practices,,Consult Experts,"iGEM Teams, Professors, Scientific Community","Gain Information for iGEM project, Discuss Ethics and Safety",The team consulted both academic experts and local industry to gain knowledge for their project.
NEFU_China,Undergraduate,2017,http://2017.igem.org/Team:NEFU_China,,Integrated Human Practices,,Consult Experts,"Professors, Vendors/Businesses",Gain Information for iGEM project,"Interview with Mr. Bastien ROUX, Business relationship manager in the French Federation of Diabetics (FFD) and with Dr. Alain FOURNIER, Head of the yeast genetics department at Sanofi-Aventis."
NEFU_China,Undergraduate,2017,http://2017.igem.org/Team:NEFU_China,,Education and Public Engagment,,"Consult Experts, Consult Representatives",Specialized Audiences,Gain Information for iGEM project,The team visited an aquaculture farm and interviewed farmers to learn how to optimize their product for the market.
NEFU_China,Undergraduate,2017,http://2017.igem.org/Team:NEFU_China,,Education and Public Engagment,,Teaching Activity,Specialized Audiences,Gain Information for iGEM project,Worked with high school students talking about genotypes and phenotypes using Saccharomyces cerevisiae Ade2. 
NEFU_China,Undergraduate,2017,http://2017.igem.org/Team:NEFU_China,,Education and Public Engagment,,Conference/Panel Discussion,Secondary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program","AFNEUS is the French acronym for the National Federation of Science Students, it is a contest where students give an 8 minute speech on a random subject. "
Wageningen,Overgraduate,2017,http://2017.igem.org/Team:Wageningen,,Integrated Human Practices,,"Open Lab, Presentation (General), Teaching Activity",University Students,Science Education (Non-SynBio Specific),Team hosted a workshop for the Academy for Talented Youth to teach them basic wetlab techniques. 
NYMU-Taipei,Undergraduate,2017,http://2017.igem.org/Team:NYMU-Taipei,,Integrated Human Practices,,"Community Event, Open Lab, Presentation (General), Teaching Activity","Primary School Students, Secondary School Students","Education on Synthetic Biology, Educate on the iGEM program",Students from local high schools were invited to the team's lab to learn about synthetic biology concepts. 
Wageningen,Overgraduate,2017,http://2017.igem.org/Team:Wageningen,,Integrated Human Practices,,Community Event,Secondary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program",We proposed interesting experiments to initiate children to Science and scientific communication for adults.
NYMU-Taipei,Undergraduate,2017,http://2017.igem.org/Team:NYMU-Taipei,,Education and Public Engagment,,Just Product,General Public,"Gain Information for iGEM project, Education on Synthetic Biology",
NYMU-Taipei,Undergraduate,2017,http://2017.igem.org/Team:NYMU-Taipei,,Education and Public Engagment,,Open Lab,General Public,"Discuss Ethics and Safety, Policy Outreach","
Real places of emulation around sciences, The Biolab is a bio-hackerplace type structures allowing exchanges between enthusiasts, amateurs and professionals to transcend the existing barriers between the population and the highly specialized circle of scientists through scientific mediation."
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Integrated Human Practices,,Just Product,General Public,Promote Awareness of Synthetic Biology,
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Integrated Human Practices,,Just Product,General Public,"Gain Information for iGEM project, Learn Public Opinions",
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Integrated Human Practices,,Presentation (General),General Public,Educate on the iGEM program,"We have collected and discussed many frequently asked questions about GMO, like whether eating GMO would change people�s gene, whether eating GMO would cause cancer and what GMOs could be seen in daily life."
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Integrated Human Practices,,Speaker Series,Secondary School Students,Education on Synthetic Biology,We established numerous offline and online lectures and seminars to improve people�s understanding on mosquito control and synthetic biology as well as to clear misconceptions on them. 
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Integrated Human Practices,,Presentation (General),Secondary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)",We designed two activities about biology to attract the public and showed our posters about mosquito control and GMO to settlers in three different communities in Guangzhou and Foshan
NUDT_CHINA,Undergraduate,2017,http://2017.igem.org/Team:NUDT_CHINA,,Education and Public Engagment,,Community Event,General Public,"Education on Synthetic Biology, Activism for iGEM project, Science Education (Non-SynBio Specific)","We went to 3 different communities (Shunde Country Garden, Shidai Meiguiyuan and Dongfang Xinshijie Xiyuan) in Guangzhou and Foshan, conducted two activities, vein bookmark DIY and transplant seedlings DIY, and distributed 100 leaflets (all the leaflets we have) in each of the communities."
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Integrated Human Practices,,Social Media,General Public,Science Education (Non-SynBio Specific),"The Wechat Official Account of ours is called iGEMers, which functions like a blog, and we used it to document our project, iGEM and synthetic biology all together"
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Education and Public Engagment,,Teaching Activity,General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Present iGEM Project, Science Education (Non-SynBio Specific)","Presented to grade 5 students about bacteria, and mosquito born disease. "
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Education and Public Engagment,,Open Lab,Primary School Students,Science Education (Non-SynBio Specific),"We have invited them to come to our lab, given them a lecture about experiment safety and directed them to do a RFP cloning and prokaryotic expression experiment and a plant tissue culturing experiment."
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Integrated Human Practices,,Teaching Activity,Secondary School Students,"Education on Synthetic Biology, Science Education (Non-SynBio Specific)",The team gave science lessons at a local elementary school to increase interest in science.
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Integrated Human Practices,,Presentation (General),Primary School Students,Science Education (Non-SynBio Specific),"The team spoke at a high school about the iGEM program, their project, and college life in general."
NUDT_CHINA,Undergraduate,2017,http://2017.igem.org/Team:NUDT_CHINA,,Education and Public Engagment,,"Teaching Activity, Just Product",Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on the iGEM program, Present iGEM Project",Created a game called VR Shooting - Gene War. 
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,"Survey, Consult Experts",General Public,"Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)",Went to visit Ganzhou to survey the public there and talk to experts. The location was chosen because of rare earth element minerals. 
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Education and Public Engagment,,Open Lab,"Scientific Community, General Public, Specialized Audiences",Gain Information for iGEM project,We made some experiment arrangements and guided them to do some basic experiments.
NYU_Abu_Dhabi,Undergraduate,2017,http://2017.igem.org/Team:NYU_Abu_Dhabi,,Education and Public Engagment,,Presentation (General),Secondary School Students,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Educate on the iGEM program",Did presentations both of their project and poster presentations. 
ECUST,Undergraduate,2017,http://2017.igem.org/Team:ECUST,,Education and Public Engagment,,Community Event,"University Students, General Public",Education on Synthetic Biology,The team set up booths at a couple of college events to encourage interest in the iGEM program.
NUDT_CHINA,Undergraduate,2017,http://2017.igem.org/Team:NUDT_CHINA,,Education and Public Engagment,,,University Students,"Educate on the iGEM program, Recruit iGEM members",Interviewed members of the general public and specialized audiences to get ready to plan an impactful project. 
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,"Educational Material, Social Media",General Public,Gain Information for iGEM project,
Macquarie_Australia,Overgraduate,2017,http://2017.igem.org/Team:Macquarie_Australia,,Education and Public Engagment,,,General Public,"Education on Synthetic Biology, Promote Awareness of Synthetic Biology, Science Education (Non-SynBio Specific)",Created a club to recruit new members. 
Macquarie_Australia,Overgraduate,2017,http://2017.igem.org/Team:Macquarie_Australia,,Education and Public Engagment,,iGEM Project Presentation (Presenting your iGEM project for feedback),Secondary School Students,Recruit iGEM members,"To engage our senior biology students, our team decided to present our final project to the Experimental Systems Biology class, one of the advanced Undergraduate biology courses at NYUAD."
Macquarie_Australia,Overgraduate,2017,http://2017.igem.org/Team:Macquarie_Australia,,Integrated Human Practices,,Consult Experts,University Students,"Gain Information for iGEM project, Present iGEM Project",They communicated with professors to learn more about ammonia-nitrogen pollution in water. 
NAU-CHINA,Undergraduate,2017,http://2017.igem.org/Team:NAU-CHINA,,Education and Public Engagment,,Consult Representatives,Professors,Gain Information for iGEM project,They contacted the official account of Chinese aquaculture website to publish an article and a 24-pages brochure was written. 
Macquarie_Australia,Overgraduate,2017,http://2017.igem.org/Team:Macquarie_Australia,,Education and Public Engagment,,Social Media,Specialized Audiences,Policy Outreach,They used to social media to reach out to people and share their stories to the public
