Schools,Section,Years,Wiki hyperlinks,Award,Outreach Category,Event Names,Project Tags,Audiences,Goals,Descriptions
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Universities,"Consult Experts, Project Presentation","Scientific Community, Professors","Present iGEM Project, Gain Information for iGEM Project","Contacted biotechnology researchers and presented project to students and faculty members   To get more teams next year and strengthen the iGEM community in Finland, contact biotechnology researchers in two major Finnish universities outside Helsinki   Welcomed by researchers from Tampere University of Technology and the University of Turku to give a presentation for their students and faculty members   Visit the universities and talk about synthetic biology, iGEM, our project, and offer help if anyone is interested in starting an iGEM team of their own   Discuss with the local researchers about their synthetic biology projects and given a tour of their facilities "
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,General Public,Fair Booth,"General Public, Primary School Students","Promote Awareness of Synthetic Biology, Present iGEM Project","Helped organize a science picnic mainly oriented towards families   Approach the people behind the science festival Thinkfest, organized by the University of Helsinki in early September   Receive a major role in organizing a Science picnic, an event oriented mainly towards families   Bring microscopes for families to check out gram-stained bacteria, glow-in-the-dark bacteria, and a gene gun   Children can colour their own superhero bacterium with its special ability or play Flappy Coli previously developed by Aalto-Helsinki   Give a talk on synthetic biology and the project in the center of Helsinki during the event "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,LUMA centre,Project Presentation,Secondary School Students,"Present iGEM Project, Educate on Synthetic Biology",Met with high school students on Finnish team of the International Biology Olympiad and talked to them about iGEM.   Meet with high school students on Finnish team of the International Biology Olympiad.   Present the project and answer their questions 
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,High Schools,"Project Presentation, Teaching Activity","Secondary School Students, Teachers","Promote Awareness of Synthetic Biology, Present iGEM Project, Educate on iGEM Program","Gave a presentation to high schoolers about synthetic biology, iGEM, and the project   Reach out to high schools to increase awareness of synthetic biology and iGEM   Talk to students and teachers of M_kel_nrinne High School and Viikki High School and mention the high school track in hopes of inspiring students and high schools to form teams of their own   Meet with a dozen high school students in training for the International Biology Olympiad   Give a presentation to them about synthetic biology, iGEM, the project, and study fields   Learn about their training and interests "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Media,Social Media,"University Students, Vendors/Businesses","Promote Awareness of Synthetic Biology, Present iGEM Project","Introduced iGEM project on multiple media platforms.   Have project introduced in multiple media such as university__ main news page, TEK magazine, Finland__ public broadcasting company YLE__ radio.   Possibly post on their sponsors_ blogs "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Website and Blog,Social Media,General Public,Present iGEM Project,"Created a blog to give weekly updates on the state of the project.   Include information of team, project, weekly update of achievement. "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Math seminar at the University of Helsinki,"Teaching Activity, Project Presentation",University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology",Gave a talk on mathematical modelling in synthetic biology for math students at the University of Helsinki.   Give a talk on __athematical Modelling in Synthetic Biology_ for math students at the University of Helsinki 
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Biotechnologies Forum,"Project Presentation, Conference/Panel Discussion",University Students,Promote Awareness of Synthetic Biology,"Presented a poster and gave an hour long presentation about iGEM project at a biotechnology forum for students   Attend the Biotechnologies forum, which is organized by the engineering school Polytech Marseille with the goal of widening the students_ view of the opportunities accessible to them   Present poster across the two days of the forum and give an hour-long presentation on the iGEM competition and the team's project "
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Metals Importance Throughout History,Consult Experts,Scientific Community,Gain Information for iGEM Project,"Interviewed a history Ph.D. student to learn more about the historical background of their project and its importance.   To assess the relevance of the project and the importance of the problems it could resolve, consult with Mr. Nicolas Minvielle, a history PhD student specialist of mining exploitation during the middle ages, working in the French laboratory LA3M    Learn about how metals exploitation has always been an issue at the center of the development of societies and civilizations, triggering sophistication, advances, and better living conditions, but also wars, conflict, and environment destruction "
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Platinum in Mines,Consult Experts,"Professors, University Students, iGEM Teams","Present iGEM Project, Gain Information for iGEM Project","Collaborated with iGEM Pretoria to interview experts in platinum mining production in the area.   To assess what social issues arise due to platinum production, ask the Pretoria iGEM team from South Africa to investigate and conduct interviews as the city of Pretoria is close to major platinum mining production and industrial complexes   Pretoria iGEM team interviews a lecturer in the mining industry department of their university and a lecturer in the political department   Have them present the team's project to obtain feedback on it "
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Platinum in the Environment,Consult Experts,Scientific Community,Gain Information for iGEM Project,"Consulted with an ecologist engineer to gain information for iGEM project.   Converse with Fr_d_ric Triboit, an ecologist engineer with a PhD in Environmental Sciences "
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Roverway,"Teaching Activity, Community Event",Scientific Community,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","Led teaching activities with students about biology techniques and methods.   Present a workshop about methods of biology lab work at Roverway, an international scouting event that unites thousands of scouts from all over Europe each year   Talk about hygiene, working with a flame in sterile conditions, pipetting, the preparation of Lysogeny broth, and more   Give scouts the chance to try transferring water into tubes by themselves "
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Fête de la Science,"Teaching Activity, Community Event",Primary School Students,Promote Awareness of Synthetic Biology,"Held a booth at F_te de la Science, a local science festival, and presented synthetic biology and iGEM project.   Participate in the local festivities at Marseille and host a stand over the three days of the ___te de la Science,_ an event dedicated to scientific communication   Have the program include discussions and presentations about synthetic biology, the scientific approach, the team's iGEM project, cloning, GMOs, etc. "
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,RIVM Symposium,"Conference/Panel Discussion, Project Presentation","Legislators, iGEM Teams","Gain Information for iGEM Project, Policy Outreach","Attended a meeting on the role of synthetic biology in a sustainable bio-economy and present their project idea; received feedback and ideas for their iGEM project   Attend stakeholder meeting on the role of synthetic biology in a sustainable bio-economy organized by the Rathenau institute and the RIVM   Give a brief presentation about project work and prepare a topic for debate along with the Dutch iGEM teams   Besides giving an outline of the iGEM project, discuss two findings that were encountered many times over during research for Synenergene: the problem of low oil prices and inconsistent government policy   Argue that low oil prices prohibit the full transition to a bio-based economy, and that biotechnology in and of itself is unlikely to ever match the costs of pumping oil out of the ground in terms of cost-effectiveness unless the peripheral costs of burning fossil fuels are properly taken into account   In a room full of policy makers, bring up the issue of inconsistent government policy pertaining to how the Dutch government has the tendency to change policy regarding biotech subsidization and legislation every two years "
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,Techno-Moral Vignette,Educational Material,"Scientific Community, General Public","Discuss Ethics and Safety, Educate on Synthetic Biology","Created techno-moral vignettes demonstrating the potential impact their iGEM project would have on society   Create techno-moral vignettes, or short narratives that involve demonstrating the potential wider impacts that the application of the project would have on society   Give an inside look on a world where bio-refineries have become the norm on a multinational scale   Demonstrate the __oft impacts_, both positive and negative, that adoption of biorefineries might have on such a world "
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,Application Scenarios,"Educational Material, Consult Experts","Scientific Community, iGEM Teams","Discuss Ethics and Safety, Educate on Synthetic Biology","Developed several application scenarios for ways their iGEM project would impact society, and interview experts in sustainable bioproduction about the usability of their product   Together with Synenergene, develop several application scenarios for the specific ways in which the technology can be implemented in society   Interview experts working in the field of sustainable bioproduction (Photanol, AlgaePARC) and biotech policy (HollandBio) to explore various aspects of the bio-based economy and the potential role of the project technology in it, as well as political and economic aspects that might influence such a role   Attempt to encapsulate the knowledge gathered throughout this process in the application scenarios "
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,Literature Research and Consulting with Experts,Consult Experts,Scientific Community,"Discuss Ethics and Safety, Gain Information for iGEM Project","Consulted experts to determine which species of bacteria could cause AHL cross talk in the real world, and to determine how to dispose of AHLs safely   Consult with experts in the field   Compile a list of bacteria (pathogens, soil, water) that may crosstalk with AHLs produced by the Senders   Use information to design an AHL safe disposal plan "
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,AHL Safe Disposal Plan,Educational Material,Scientific Community,Discuss Ethics and Safety,"Developed a safe disposal protocol for AHLs    Develop a safe disposal protocol for AHLs   Gather data from the bleach and autoclave experiments and compile it with the Borchardt findings   Develop suggestions for the proper disposal of each of the AHL Senders that were constructed and tested   Apply this knowledge to experiments, either disposing of AHLs in biohazardous waste that would be autoclaved or directly autoclaving the solutions "
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,Safety Section on Parts Pages,Educational Material,Scientific Community,Discuss Ethics and Safety,"Updated AHL parts pages with proper disposal protocols and crosstalk partner information   Add safety suggestions to the parts pages of the 5 Senders added to the registry as part of our part collection   Include a description of potential crosstalk partners for the given system, proper disposal procedure for the AHLs produced by the Sender, as well as any other considerations "
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,White Paper,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,Created a white paper with a background on the threats and safety concerns of AHLs   Compile all findings on the safety of AHLs into a white paper   Provide background on the threats posed by AHLs and give suggestions on any experiments involving AHLs 
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Head of the Department of Biotechnology of Hacettepe University,Consult Experts,Professors,Gain Information for iGEM Project,"Discussed the application of the project with the Head of the Department of Biotechnology of Hacettepe University   Discuss the application of project with the Head of the Department of Biotechnology of Hacettepe University, Prof. Dr. Nil_fer Aks_z   Talk about how the project could be applied in real life and how it could be turned into a product, focusing on the efficiency of such an application   Conduct abrupt calculations for the scale of effectivity "
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Chemical Companies,Consult Experts,"Scientific Community, Vendors/Businesses","Gain Information for iGEM Project, Discuss Ethics and Safety","Arranged a meeting with chemical companies and interviewed specialists to discuss topics of biotechnology   In order to get into contact with specialists in chemistry, arrange a meeting with chemical companies   Interview with Mr. Serhat Karabulut on behalf of IBA Kimya   Discuss topics of biotechnology, the mechanism and function of the project, and the chemical pathway of reactions   As a company representative, Mr. Karabulut discusses efficiency of the project, the applications of the company, and the ethics of genetic engineering   As the Safety Specialist of the company, Mr. Karabulut raises many questions about work safety and lab conditions "
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Expert of Entomology,Consult Experts,Scientific Community,Gain Information for iGEM Project,"Met with an expert of entomology to explain the fuse mechanism of the Bombardier Beetle's catalase   Meet with Mr. Yusuf Durmu_, an Expert of Entomology at the Hacettepe University   Explain how the fuse mechanism of the Bombardier Beetle's catalase was adopted for the project   Provided with suggestions on how the metabolic systems of other insects could be utilized for the project and possible future projects "
Austin_UTexas,Undergraduate,2016,http://2016.igem.org/Team:Austin%20UTexas,,Integrated Human Practices,Gain info about kombucha,Consult Experts,"General Public, Scientific Community",Gain Information for iGEM Project,"Met with the owner of a kombucha company to discuss and gain insights for iGEM project.   Research about kombucha, a fermented beverage, by reading about its proposed health benefits and consider issues that would occur when genetically modifying it   Meet with Greg Goodman, founder of a local kombucha company and discuss their project and incorporate his insights into their project   Learn from Greg Goodman about the demographics of Kombucha drinkers and what he thinks needs to be researched currently  "
Austin_UTexas,Undergraduate,2015,http://2015.igem.org/Team:Austin_UTexas,,Integrated Human Practices,South By South West,"Fair Booth, Community Event","Scientific Community, General Public","Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","Presented at Austin's premier festival, South by South West Create   Present at Austin's premier festival, South By South West Create, that offers a unique convergence of emerging technologies and partners with community support   Help local community better understand what synthetic biology is all about, while also promoting STEM education   Over the course of the weekend, create an interactive synthetic biology booth called ""Painting with E. coli"", where participants can use various fluorescent E. coli to ""paint"" on agar plates   Lab members spend time talking with each participant to gain an understanding of current opinions on synthetic biology and GMO's, while also trying to correct common misunderstandings and highlight the benefits of the uses of this field "
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,The Great Debate,Conference/Panel Discussion,"University Students, Scientific Community",Discuss Ethics and Safety,"Had the ethics of the project's science contested in a verbal boxing ring by organizing ""The Great Debate"" in collaboration with the team's school society,, Babsoc   Because GMO technology is a hotly debated topic with fierce proponents on both sides of the fence, it was decided to have the ethics of the project's science contested in a verbal boxing ring   Organize __he Great Debate_ in collaboration with the team's school society, Babsoc   Discuss the broad spectrum topic __reating Superman: Is it ethical to genetically modify organisms?_   Two teams sourced from enthusiastic science undergrads went head to head, presenting a range of convincing arguments "
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Australian iGEM Meetup,"Conference/Panel Discussion, Project Presentation",iGEM Teams,"Present iGEM Project, Gain Information for iGEM Project","Hosted meetup for 2015 Australian iGEM teams to meet and share work with other teams   Host meet up for 2015 Australian iGEM teams to meet and share work with other teams   Each team gives a presentation about their project and is faced with questions from other teams, advisors, and a past iGEM judge "
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Encounters of the IP Kind,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,"Consulted with the university business development team and an intellectual property lawyer to learn the actions necessary to secure a patent   Consult with the university business development team (UNSW Innovations) and an intellectual property lawyer   Though they do not have specific biotechnology knowledge and therefore can not confirm the patentability of our invention, they can describe the actions necessary to secure a patent. "
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Biosafety Report,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,"Compiled a report to discuss ethics and safety themes in synthetic biology   Because biosafety considerations are a pivotal aspect of project Endosynbio due to the risks associated with the work, compile a report to discuss ethics and safety themes in synthetic biology   Offer a valuable, fresh perspective on the way synthetic biology is practiced, particularly in relation to the interaction of chassis with donor genes "
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Make Your Own GMO Workshop,"Teaching Activity, Community Event",Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","Collaborated with Australian BIOMOD team and ASPIRE to run a workshop for students across several rural and low SES schools   Collaborate with the Australian BIOMOD team and ASPIRE (a UNSW high school outreach program) to run a workshop for students from across several rural and low SES schools   Give rudimentary introduction to cell biology and genetics and then explain design of basic genetic circuits with a focus on promoters and protein-coding genes   Give students the opportunity to select from a list of real-world problems, and then design their solution by picking a chassis organism and choosing genes to add to it "
BGU ISRAEL,Overgraduate,2016,http://2016.igem.org/Team:BGU_ISRAEL,,Education and Public Engagement,Osim Rehov - Street Makeover,Community Event,General Public,"Activism for iGEM Project, Educate on Synthetic Biology","Hosted an event to raise awareness about plastic waste, iGEM and synthetic biology   Improve the street's appearance by decorating using colorful flowers made from plastic bottles collected in the community   Teach children about plastic pollution by using a fun game that quizzes them on plastic facts   Educate people at the event on their iGEM project and its purpose by passing out brochures   Invite students into the lab to teach them about synthetic biology tools and devices "
