,School,Section,Year,Outreach Category,Wiki Hyperlink,Project Tag,Audience,Goal,Objectives,Description
36,Aalto-Helsinki,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Aalto-Helsinki,"Project Presentation, Teaching Activity","Secondary School Students, Teachers","Promote Awareness of Synthetic Biology, Present iGEM Project, Educate on iGEM Program","<ul><li> Reach out to high schools to increase awareness of synthetic biology and iGEM</li><li> Talk to students and teachers of M盲kel盲nrinne High School and Viikki High School and mention the high school track in hopes of inspiring students and high schools to form teams of their own</li><li> Meet with a dozen high school students in training for the International Biology Olympiad</li><li> Give a presentation to them about synthetic biology, iGEM, the project, and study fields</li><li> Learn about their training and interests</ul>","Gave a presentation to high schoolers about synthetic biology, iGEM, and the project"
37,Aalto-Helsinki,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aalto-Helsinki,Social Media,"University Students, Vendors/Businesses","Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Have project introduced in multiple media such as university__ main news page, TEK magazine, Finland__ public broadcasting company YLE__ radio.</li><li> Possibly post on their sponsors_ blogs</ul>",Introduced iGEM project on multiple media platforms.
38,Aalto-Helsinki,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aalto-Helsinki,Social Media,General Public,Present iGEM Project,"<ul><li> Include information of team, project, weekly update of achievement.</ul>",Created a blog to give weekly updates on the state of the project.
39,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,"Teaching Activity, Project Presentation",University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology",<ul><li> Give a talk on __athematical Modelling in Synthetic Biology_ for math students at the University of Helsinki</ul>,Gave a talk on mathematical modelling in synthetic biology for math students at the University of Helsinki.
40,Aix-Marseille,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aix-Marseille,"Project Presentation, Conference/Panel Discussion",University Students,Promote Awareness of Synthetic Biology,"<ul><li> Attend the Biotechnologies forum, which is organized by the engineering school Polytech Marseille with the goal of widening the students_ view of the opportunities accessible to them</li><li> Present poster across the two days of the forum and give an hour-long presentation on the iGEM competition and the team's project</ul>",Presented a poster and gave an hour long presentation about iGEM project at a biotechnology forum for students
41,Aix-Marseille,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aix-Marseille,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> To assess the relevance of the project and the importance of the problems it could resolve, consult with Mr. Nicolas Minvielle, a history PhD student specialist of mining exploitation during the middle ages, working in the French laboratory LA3M </li><li> Learn about how metals exploitation has always been an issue at the center of the development of societies and civilizations, triggering sophistication, advances, and better living conditions, but also wars, conflict, and environment destruction</ul>",Interviewed a history Ph.D. student to learn more about the historical background of their project and its importance.
42,Aix-Marseille,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aix-Marseille,Consult Experts,"Professors, University Students, iGEM Teams","Present iGEM Project, Gain Information for iGEM Project","<ul><li> To assess what social issues arise due to platinum production, ask the Pretoria iGEM team from South Africa to investigate and conduct interviews as the city of Pretoria is close to major platinum mining production and industrial complexes</li><li> Pretoria iGEM team interviews a lecturer in the mining industry department of their university and a lecturer in the political department</li><li> Have them present the team's project to obtain feedback on it</ul>",Collaborated with iGEM Pretoria to interview experts in platinum mining production in the area.
43,Aix-Marseille,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aix-Marseille,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> Converse with Fr茅d茅ric Triboit, an ecologist engineer with a PhD in Environmental Sciences</ul>",Consulted with an ecologist engineer to gain information for iGEM project.
44,Aix-Marseille,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aix-Marseille,"Teaching Activity, Community Event",Scientific Community,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","<ul><li> Present a workshop about methods of biology lab work at Roverway, an international scouting event that unites thousands of scouts from all over Europe each year</li><li> Talk about hygiene, working with a flame in sterile conditions, pipetting, the preparation of Lysogeny broth, and more</li><li> Give scouts the chance to try transferring water into tubes by themselves</ul>",Led teaching activities with students about biology techniques and methods.
45,Aix-Marseille,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aix-Marseille,"Teaching Activity, Community Event",Primary School Students,Promote Awareness of Synthetic Biology,"<ul><li> Participate in the local festivities at Marseille and host a stand over the three days of the __锚te de la Science,_ an event dedicated to scientific communication</li><li> Have the program include discussions and presentations about synthetic biology, the scientific approach, the team's iGEM project, cloning, GMOs, etc.</ul>","Held a booth at F锚te de la Science, a local science festival, and presented synthetic biology and iGEM project."
46,Amsterdam,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Amsterdam,"Conference/Panel Discussion, Project Presentation","Legislators, iGEM Teams","Gain Information for iGEM Project, Policy Outreach","<ul><li> Attend stakeholder meeting on the role of synthetic biology in a sustainable bio-economy organized by the Rathenau institute and the RIVM</li><li> Give a brief presentation about project work and prepare a topic for debate along with the Dutch iGEM teams</li><li> Besides giving an outline of the iGEM project, discuss two findings that were encountered many times over during research for Synenergene: the problem of low oil prices and inconsistent government policy</li><li> Argue that low oil prices prohibit the full transition to a bio-based economy, and that biotechnology in and of itself is unlikely to ever match the costs of pumping oil out of the ground in terms of cost-effectiveness unless the peripheral costs of burning fossil fuels are properly taken into account</li><li> In a room full of policy makers, bring up the issue of inconsistent government policy pertaining to how the Dutch government has the tendency to change policy regarding biotech subsidization and legislation every two years</ul>",Attended a meeting on the role of synthetic biology in a sustainable bio-economy and present their project idea; received feedback and ideas for their iGEM project
47,Amsterdam,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Amsterdam,Educational Material,"Scientific Community, General Public","Discuss Ethics and Safety, Educate on Synthetic Biology","<ul><li> Create techno-moral vignettes, or short narratives that involve demonstrating the potential wider impacts that the application of the project would have on society</li><li> Give an inside look on a world where bio-refineries have become the norm on a multinational scale</li><li> Demonstrate the __oft impacts_, both positive and negative, that adoption of biorefineries might have on such a world</ul>",Created techno-moral vignettes demonstrating the potential impact their iGEM project would have on society
48,Amsterdam,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Amsterdam,"Educational Material, Consult Experts","Scientific Community, iGEM Teams","Discuss Ethics and Safety, Educate on Synthetic Biology","<ul><li> Together with Synenergene, develop several application scenarios for the specific ways in which the technology can be implemented in society</li><li> Interview experts working in the field of sustainable bioproduction (Photanol, AlgaePARC) and biotech policy (HollandBio) to explore various aspects of the bio-based economy and the potential role of the project technology in it, as well as political and economic aspects that might influence such a role</li><li> Attempt to encapsulate the knowledge gathered throughout this process in the application scenarios</ul>","Developed several application scenarios for ways their iGEM project would impact society, and interview experts in sustainable bioproduction about the usability of their product"
49,Arizona State,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Arizona_State,Consult Experts,Scientific Community,"Discuss Ethics and Safety, Gain Information for iGEM Project","<ul><li> Consult with experts in the field</li><li> Compile a list of bacteria (pathogens, soil, water) that may crosstalk with AHLs produced by the Senders</li><li> Use information to design an AHL safe disposal plan</ul>","Consulted experts to determine which species of bacteria could cause AHL cross talk in the real world, and to determine how to dispose of AHLs safely"
50,Arizona State,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Arizona_State,Educational Material,Scientific Community,Discuss Ethics and Safety,"<ul><li> Develop a safe disposal protocol for AHLs</li><li> Gather data from the bleach and autoclave experiments and compile it with the Borchardt findings</li><li> Develop suggestions for the proper disposal of each of the AHL Senders that were constructed and tested</li><li> Apply this knowledge to experiments, either disposing of AHLs in biohazardous waste that would be autoclaved or directly autoclaving the solutions</ul>",Developed a safe disposal protocol for AHLs 
51,Arizona State,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Arizona_State,Educational Material,Scientific Community,Discuss Ethics and Safety,"<ul><li> Add safety suggestions to the parts pages of the 5 Senders added to the registry as part of our part collection</li><li> Include a description of potential crosstalk partners for the given system, proper disposal procedure for the AHLs produced by the Sender, as well as any other considerations</ul>",Updated AHL parts pages with proper disposal protocols and crosstalk partner information
52,Arizona State,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Arizona_State,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,<ul><li> Compile all findings on the safety of AHLs into a white paper</li><li> Provide background on the threats posed by AHLs and give suggestions on any experiments involving AHLs</ul>,Created a white paper with a background on the threats and safety concerns of AHLs
53,AUC_TURKEY,High School,2015,Integrated Human Practices,http://2015.igem.org/Team:AUC_TURKEY,Consult Experts,Professors,Gain Information for iGEM Project,"<ul><li> Discuss the application of project with the Head of the Department of Biotechnology of Hacettepe University, Prof. Dr. Nil眉fer Aks枚z</li><li> Talk about how the project could be applied in real life and how it could be turned into a product, focusing on the efficiency of such an application</li><li> Conduct abrupt calculations for the scale of effectivity</ul>",Discussed the application of the project with the Head of the Department of Biotechnology of Hacettepe University
54,AUC_TURKEY,High School,2015,Integrated Human Practices,http://2015.igem.org/Team:AUC_TURKEY,Consult Experts,"Scientific Community, Vendors/Businesses","Gain Information for iGEM Project, Discuss Ethics and Safety","<ul><li> In order to get into contact with specialists in chemistry, arrange a meeting with chemical companies</li><li> Interview with Mr. Serhat Karabulut on behalf of IBA Kimya</li><li> Discuss topics of biotechnology, the mechanism and function of the project, and the chemical pathway of reactions</li><li> As a company representative, Mr. Karabulut discusses efficiency of the project, the applications of the company, and the ethics of genetic engineering</li><li> As the Safety Specialist of the company, Mr. Karabulut raises many questions about work safety and lab conditions</ul>",Arranged a meeting with chemical companies and interviewed specialists to discuss topics of biotechnology
55,AUC_TURKEY,High School,2015,Integrated Human Practices,http://2015.igem.org/Team:AUC_TURKEY,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> Meet with Mr. Yusuf Durmu_, an Expert of Entomology at the Hacettepe University</li><li> Explain how the fuse mechanism of the Bombardier Beetle's catalase was adopted for the project</li><li> Provided with suggestions on how the metabolic systems of other insects could be utilized for the project and possible future projects</ul>",Met with an expert of entomology to explain the fuse mechanism of the Bombardier Beetle's catalase
56,Austin_UTexas,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Austin%20UTexas,Consult Experts,"General Public, Scientific Community",Gain Information for iGEM Project,"<ul><li> Research about kombucha, a fermented beverage, by reading about its proposed health benefits and consider issues that would occur when genetically modifying it</li><li> Meet with Greg Goodman, founder of a local kombucha company and discuss their project and incorporate his insights into their project</li><li> Learn from Greg Goodman about the demographics of Kombucha drinkers and what he thinks needs to be researched currently </ul>",Met with the owner of a kombucha company to discuss and gain insights for iGEM project.
57,Austin_UTexas,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Austin_UTexas,"Fair Booth, Community Event","Scientific Community, General Public","Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","<ul><li> Present at Austin's premier festival, South By South West Create, that offers a unique convergence of emerging technologies and partners with community support</li><li> Help local community better understand what synthetic biology is all about, while also promoting STEM education</li><li> Over the course of the weekend, create an interactive synthetic biology booth called ""Painting with E. coli"", where participants can use various fluorescent E. coli to ""paint"" on agar plates</li><li> Lab members spend time talking with each participant to gain an understanding of current opinions on synthetic biology and GMO's, while also trying to correct common misunderstandings and highlight the benefits of the uses of this field</ul>","Presented at Austin's premier festival, South by South West Create"
58,BABS_UNSW_Australia,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:BABS_UNSW_Australia,Conference/Panel Discussion,"University Students, Scientific Community",Discuss Ethics and Safety,"<ul><li> Because GMO technology is a hotly debated topic with fierce proponents on both sides of the fence, it was decided to have the ethics of the project's science contested in a verbal boxing ring</li><li> Organize __he Great Debate_ in collaboration with the team's school society, Babsoc</li><li> Discuss the broad spectrum topic __reating Superman: Is it ethical to genetically modify organisms?_</li><li> Two teams sourced from enthusiastic science undergrads went head to head, presenting a range of convincing arguments</ul>","Had the ethics of the project's science contested in a verbal boxing ring by organizing ""The Great Debate"" in collaboration with the team's school society,, Babsoc"
59,BABS_UNSW_Australia,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:BABS_UNSW_Australia,"Conference/Panel Discussion, Project Presentation",iGEM Teams,"Present iGEM Project, Gain Information for iGEM Project","<ul><li> Host meet up for 2015 Australian iGEM teams to meet and share work with other teams</li><li> Each team gives a presentation about their project and is faced with questions from other teams, advisors, and a past iGEM judge</ul>",Hosted meetup for 2015 Australian iGEM teams to meet and share work with other teams
60,BABS_UNSW_Australia,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:BABS_UNSW_Australia,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,"<ul><li> Consult with the university business development team (UNSW Innovations) and an intellectual property lawyer</li><li> Though they do not have specific biotechnology knowledge and therefore can not confirm the patentability of our invention, they can describe the actions necessary to secure a patent.</ul>",Consulted with the university business development team and an intellectual property lawyer to learn the actions necessary to secure a patent
61,BABS_UNSW_Australia,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:BABS_UNSW_Australia,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,"<ul><li> Because biosafety considerations are a pivotal aspect of project Endosynbio due to the risks associated with the work, compile a report to discuss ethics and safety themes in synthetic biology</li><li> Offer a valuable, fresh perspective on the way synthetic biology is practiced, particularly in relation to the interaction of chassis with donor genes</ul>",Compiled a report to discuss ethics and safety themes in synthetic biology
62,BABS_UNSW_Australia,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:BABS_UNSW_Australia,"Teaching Activity, Community Event",Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","<ul><li> Collaborate with the Australian BIOMOD team and ASPIRE (a UNSW high school outreach program) to run a workshop for students from across several rural and low SES schools</li><li> Give rudimentary introduction to cell biology and genetics and then explain design of basic genetic circuits with a focus on promoters and protein-coding genes</li><li> Give students the opportunity to select from a list of real-world problems, and then design their solution by picking a chassis organism and choosing genes to add to it</ul>",Collaborated with Australian BIOMOD team and ASPIRE to run a workshop for students across several rural and low SES schools
